operator_company,well_name_number,api_number,job_type,address,longitude,latitude,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume_value,volume_units,treatment_type,acid_percent,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_per_min,details
Telephone Number,Wade Federal 5300 31-30 11T,,IAcid % 'Lbs Proppant 'Maximum Treatment Pressure (PSI) 'Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-08-23,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,123705,barrels,,,,1,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Au ust 23, 2015 D D Plug Well Fracture Treatment 0 D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 11T Before After Footages . ·1atr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w | Plug Well Fracture Treatment 0 D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 11T Before After Footages . ·1atr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w 1955 F L 350 F W L LOT3 30 153 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF 'Pool 'County | Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 11T Before After Footages . ·1atr-Qtr I Section I To"
Telephone Number,Chalmers 5301 44-24 2TR,,'Acid% Lbs Proppant 'Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),State,,,2014-10-31,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,207943,barrels,,,,11220,951,"Report of Work Done Date Work Completed Casing or Liner Acidizing Februa 4, 2015 D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RAT E Chalmers 5301 44-24 2TR Before After Footages IQtr-Qtr I Section I Township range Oil Bbls Oil Bbls w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RAT E Chalmers 5301 44-24 2TR Before After Footages IQtr-Qtr I Section I Township range Oil Bbls Oil Bbls w 959 F S L 245 F EI L SESE 24 I1 53 N 101 Water Bbls Water Bbls Field Gas MCF Gas MCF Pool County | Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type W"
Telephone Number,Wade Federal 5300 41-30 4T,,1Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,2015-04-08,MD(Ft) TvD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,,238848,barrels,,,,1,341,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20193 Perforations 11079 20189 10300 04/08/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1-11079' to 20187' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) May 29, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1-11079' to 20187' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) May 29, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test"
Oasis Rig: Patterson 488,Wade Federal 5300 41-30 6B,33-053-05954,'Acid% Lbs Proppant Maximum Treatment Pressure (PSI) 'Maximum Treatment Rate (BBLS/Min),,,,2014-10-31,This well contained two Upper Bakken shale strikes leading to two sidetracks (please,,.,,188339,barrels,,,,11220,753,"system uses an infra-red detector to measure total gas and the chromatograph separates and measures gases C1, C2, C3, iC4 and nC4. Gas was recorded in units where 1 unit equals 100 ppm. The gas detection system measured gases: C1, C2, C3, IC4, NC4, H2S, O2 and CO . 2 The Bloodhound Gas Detection and Chromatograph system use digital signal processing techniques and non-dispersive infrared and chemical sensors for gas detection. The system uses a proprietary chromatograph, which has the capability to detect from 0 to 10,000 gas units. This translates as 0 to 100% typical naturally-occurring hydrocarbon gas mixtures. Calibration is performed using National Institute of Standards and Technology (NIST) traceable calibration gases. Lab calibration points include 0%, 2.5%, and 100% pure methane. Complete immunity to saturation or damage in the presence of high concentrations of both light and heavy hydrocarbon gases precludes the necessity of constant re-calibration or zero referencing. This allows the Bloodhound to react to hydrocarbon based gases from zero to 100% in concentration without dilution. | units, and saturated cuttings with oil, making all cuttings in the vertical show the sa"
Telephone Number,Wade Federal 5300 31-30 2B,,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-09-01,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,215747,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Se tember 1, 2015 D D Plug Well Fracture Treatment 0 D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 2B Before After Footages IQtr-Qtr I Section !Township I Range Oil Bbls Oil Bbls | Plug Well Fracture Treatment 0 D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 2B Before After Footages IQtr-Qtr I Section !Township I Range Oil Bbls Oil Bbls s w 1329 F L 240 F W I L . LOT3 30 I1 53 N 100 Water Bbls Water Bbls Field Pool County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 2B Before After Footages IQtr-Qtr I Section !Township I Rang"
Oasis Rig: Patterson 488,Wade Federal 5300 41-30 7T,33-053-05998,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,2014-11-18,This pay zone was picked,,547,,134353,barrels,,,,5000,832,"uses an infra-red detector to measure total gas and the chromatograph separates and measures gases C1, C2, C3, iC4 and nC4. Gas was recorded in units where 1 unit equals 100 ppm. The gas detection system measured gases: C1, C2, C3, iC4, nC4, H2S, O2 and CO . 2 The Bloodhound Gas Detection and Chromatograph system use digital signal processing techniques and non-dispersive infrared and chemical sensors for gas detection. The system uses a proprietary chromatograph, which has the capability to detect from 0 to 10,000 gas units. This translates as 0 to 100% typical naturally-occurring hydrocarbon gas mixtures. Calibration is performed using National Institute of Standards and Technology (NIST) traceable calibration | saturated cuttings with oil, making all cuttings in the vertical show the same cut and fluorescence. Gas shows were around 2000+ units during the drilling of the lateral. 3.5 Oil Shows Invert mud was used in the vertical, masking any oil shows. In the lateral part of the well the oil shows were consistently a moderately yellow to yellow green fluorescence with a fast milky blue cut and a medium brown residue ring. | shows were consistently a moderately yellow to yellow gr"
,Chalmers 5301 44-24 3BR,33-053-05924,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-01-30,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,5000,bbls,,,,500,5301,"Report of Work Done Date Work Completed Casing or Liner Acidizing Janua 30,2015 D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5301 44-24 3BR Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5301 44-24 3BR Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w 926 F L 245 F E L SESE 24 153 N 101 Water Bbls Water Bbls Field I Pool I County Gas MCF Gas MCF Baker Bakken McKenzie | Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5301 44-24 3BR Before After Footages IQtr-Qtr I Section I Township I Range"
,Chalmers 5301 44-24 4T2R,,IAcid % I Lbs Proppant lMaximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State,,,2015-01-15,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,5000,bbls,,,,11220,831,"0 Report of Work Done Date Work Completed D Casing or Liner D Acidizing Janua 15,2015 D Plug Well D Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Well on pump Other Well Name and Number 24-HOUR PRODUCTION RAT E Chalmers 5301 44-24 4T2R Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls | D Plug Well D Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Well on pump Other Well Name and Number 24-HOUR PRODUCTION RAT E Chalmers 5301 44-24 4T2R Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w 877 F L 245 F E L SESE 24 153 N 101 Water Bbls Water Bbls | Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolate"
Telephone Number,Chalmers Wade Federal 5301 44-2412TXR,,IAcid % ILbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,19/20/29,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,95600,barrels,,,,11220,328,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 ~ Perforations 11418 ~- 10019 11/16/201~ ZJO(fp PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Lateral 1-11418' to 21050' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump Well Status (Producing or Shut-In) January 1, 2015 Flowing Producing | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Lateral 1-11418' to 21050' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump Well Status (Producing or Shut-In) January 1, 2015 Flowing Producing Date of Test Hours Tested Choke Size Oil (Bbls) Gas (MCF) Water (Bbls) Oil Gravity-AP! (Corr.) Disposition of Gas Production for Test 01/01/2015 24 28 /64 328 143 100 0 Sold Flowing Tubing Pressure (PSI) Flowing Casing Pressure (PSI) Calculated Oil (Bbls) Gas (MCF) Water (Bbls) Gas-Oil Ratio 1600 24-Hour Rate 328 143 100 435 | Flowing Tubing Press"
!Telephone Number,Chalmers 5300 21-19 5T,,!Acid% I Lbs Proppant Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-10-16,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,,206323,barrels,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing October 16, 2015 D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 ST I I Before After Footages · IQtr-Qtr Section !Township Range Oil Bbls Oil Bbls w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 ST I I Before After Footages · IQtr-Qtr Section !Township Range Oil Bbls Oil Bbls w 2127 F N L 327 F WI L LOT2 19 I1 53 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF Pool County | Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 ST I I Before After Footages · IQtr-Qtr Section !Township Range Oil Bb"
Telephone Number,Chalmers 5300 21-19 6B,,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,2015-04-25,MD(Ft) TVD(Ft) Weil Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,223578,barrels,,,,1,1606,"Open Hole/Perfo.rated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 20585 Perforations 11080 20580 10207 04/25/2015 . PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11080' to 20580' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) July 18, 2015 Flowing Producing | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11080' to 20580' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) July 18, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water ~bis) I Oil Gravity-AP! (Corr.) I Disposition of Gas Production for Test 07/19/2015 24 36 164 1606 1552 31 5 ° Sold Flowing Tubing Pressure (PSI) Flowing Casing Pressure (PSI) Calculated "
Telephone Number,Chalmers 5300 21-19 BT,,IAcid % llbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),,,,2015-04-25,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,96178,barrels,,.,,1,1456,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) . (MD Ft) Top Bottom (MD Ft) Lateral1 20524 Perforations 11165 20511 04/25/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11165' to 20511' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) July 21, 2015 Date ofTest I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11165' to 20511' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) July 21, 2015 Date ofTest I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test 07/22/2015 24 36 164 1456 1887 2849 °"
Telephone Number,Chalmers 5300 21-19 10T I,33-053-06022,IAcid % ILbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-07-12,thicknesses expressed by gamma ray,200,,,164,bbls,,,,11220,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Jul 12,2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 10T I Before After Footages IQtr-Qtr Section . !Township I Range Oil Bbls Oil Bbls w | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 10T I Before After Footages IQtr-Qtr Section . !Township I Range Oil Bbls Oil Bbls w 2292 F N L 326 F W L LOT2 19 153 N 100 Water Bbls Water Bbls Field Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 10T I Before After Footages IQtr-Qtr Section . !Township I Range Oil Bbls Oil Bbls w"
Telephone Number,CHALMERS 5300 21-19 98 LOT2 19 100 Mckenz ie,33-053-06023,tcid% I Lbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2015-04-27,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,2,215116,barrels,,,,1,1234,"Open Hole/Perfo_rated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) Top ·Bottom (MD Ft) (MD Ft) Lateral1 20440 Perforations 11080 20436 10223 04/27/2015 PRODUCTION Current Producing Open Hole or Perforated lnterval{s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11080' to 20435' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) May 18, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test | Current Producing Open Hole or Perforated lnterval{s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11080' to 20435' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) May 18, 2015 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of"
Telephone Number,Chalmers 5300 21-19 11 B,,IAcid.% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),I State IZip Code,,,2015-05-11,MD(Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,209363,barrels,,,,1,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing Jul 7,2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 11 B Before After Footages IQtr-Qtr , !Section !Township_ I Range Oil Bbls Oil Bbls w | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 11 B Before After Footages IQtr-Qtr , !Section !Township_ I Range Oil Bbls Oil Bbls w 2325 F N L 327 F WI L LOT2 .· 19 I1 53 N . 100 Water Bbls Water Bbls Field Pool County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Chalmers 5300 21-19 11 B Before After Footages IQtr-Qtr , !Section !Township_ I Ran"
Telephone Number,KLINE FEDERAL 5300 41-18 9T Mckenzie,,1Acid% ILbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City Zip Code,,,2015-06-26,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,.,,,170347,barrels,,,,1,1471,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) .Top · Bottom (MD Ft) Lateral1 20742 Perforations 11150 20737 . 10330 06/26/2015 . .. .. .. ~ ' •.1.., PRODUCTION | Current Producing Open Hole or Perforated lnterval(s). This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Lateral 1- 11150' to 20737' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-$ize & Type of Pump IWell Status (Producing or Shut-In) September 9, 2015 flowing producing Date ofTest I Hours Tested Choke Size Oil (Bbls) · IGas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test ° 09/09/2015 24 36 /64 1471 996 4097 42.0 Flowing Tubing Pressure (PSI) Flowing Casing Pressure (PSI) · · Calculated IOil (Bbls) IGas (MCF) 1water (Bbls) IGas-Oil Ratio 1800 I 24~Hour Rate 1471 . 996 4097 677 | Flowing Tubing Pressure (PSI) Flowing Casing Pressure (PSI) · · Calculated IOil (Bbls) IGas (MCF) 1water (Bbls) IGas-Oil Ratio 1800 I 24~Hour Rate 1471 . 996 4097 677 | 1800 I 24~Hour Rate 1471 . "
Oasis Petroleum,Kline Federal 5300 41-18 10B,,IAcid % I Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),1001 Fannin Suite 202 NDIC Well File #: 28652,,,2014-04-03,tops to the target depth determined from the Kline Federal,8376,,,.,rigwatch,,,,11220,,"uses non-dispersive infrared and chemical sensor gas detection to evaluate gases liberated from the formation by the drill bit and carried to the surface by the drilling fluid. The gas detector was interfaced with a RigWatch electronic data recorder system. RigWatch provided drill rate, on-off bottom and pump strokes to the gas detector and received total gas information from the gas detector for viewing on location and remotely. Under the direction of RPM well site geologists, rig crews were instructed to catch lagged drill cutting samples at 30’ intervals in the vertical hole and curve build from 8,350’ to 11,175’ MD and 50’ samples from 11,175’ to TD (20,475’). Sampled drill cuttings were examined wet and dry under a binocular microscope using both plain (broad spectrum) and transmitted light. Cuttings were evaluated for hydrocarbon “cut” by immersion in Acetone and inspection under a UV fluoroscope. 10% hydrochloric acid and alizarin red were used to determine the calcareous and dolomitic content of rocks and cementing. RPM Geologic, Inc. (RPM) well site geologists also closely examined MWD gamma-ray information and penetration rates to aid in steering decisions and dip degree "
Telephone Number,Kline Federal 5300 41-18 13T2X,,IAcido/o I Lbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),I State,-103.603319,48.068672,2015-10-15,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,126978,barrels,,,,5000,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing October 15, 2015 D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 13T2X Before After Footages IQtr-Qtr I Section · ITownsh_ip 'Range . _ Oil Bbls Oil Bbls | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 13T2X Before After Footages IQtr-Qtr I Section · ITownsh_ip 'Range . _ Oil Bbls Oil Bbls s w w 401 F L 237 F L LOT4 18 . · I1 53 N 100 Water Bbls Water Bbls Field I Pool County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 13T2X Before After Footages IQtr-Qtr I "
Telephone Number,Kline Federal 5300 41-18 14BX,,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),lstate !Zip Code,103.603,48.0686,2015-11-15,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,,214895,barrels,,,,1500,5300,"Report of Work Done Date Work Completed Casing or Liner Acidizing November15,2015 D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 14BX Before After Footages IQtr-Qtr 1$ectiori · !Township range . Oil Bbls. Oil Bbls | D Plug Well D Fracture Treatment D D 0 Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method I for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 14BX Before After Footages IQtr-Qtr 1$ectiori · !Township range . Oil Bbls. Oil Bbls s w w 368 F L 237 F L .LOT4 .·. ·18 ..• 1.53 N 100 Water . Bbls . Water Bbls | Well Name and Number 24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 14BX Before After Footages IQtr-Qtr 1$ectiori · !Township range . Oil B"
